"Identificador do processo de viagem";"Número da Proposta (PCDP)";"Código do órgão superior";"Nome do órgão superior";"Codigo do órgão pagador";"Nome do órgao pagador";"Código da unidade gestora pagadora";"Nome da unidade gestora pagadora";"Tipo de pagamento";"Valor"
"0000000000018387433";"001258/22";"32000";"Ministério de Minas e Energia";"32205";"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"323031";"ESCRITORIO CENTRAL DA ANP";"PASSAGEM";"2578,95"
"0000000000018479297";"052420/22";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160202";"3º BATALHAO DE ENGENHARIA DE CONSTRUCAO";"PASSAGEM";"1074,43"
"0000000000018479297";"052420/22";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160202";"3º BATALHAO DE ENGENHARIA DE CONSTRUCAO";"PASSAGEM";"1038,70"
"0000000000018509100";"000091/22";"25000";"Ministério da Economia";"25208";"Superintendência de Seguros Privados";"173039";"SUPERINTENDENCIA DE SEGUROS PRIVADOS - RJ";"PASSAGEM";"1163,73"
"0000000000018530210";"030611/22";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e Estatística";"114601";"FUNDACAO IBGE-ADMINISTRACAO CENTRAL/RJ";"PASSAGEM";"2044,32"
"0000000000018530210";"030611/22";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e Estatística";"114601";"FUNDACAO IBGE-ADMINISTRACAO CENTRAL/RJ";"PASSAGEM";"970,61"
"0000000000018551236";"000008/23";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo direto";"250110";"CG DE MATERIAL E PATRIMONIO - CGMAP/SAA";"PASSAGEM";"598,27"
"0000000000018551236";"000008/23";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo direto";"250110";"CG DE MATERIAL E PATRIMONIO - CGMAP/SAA";"PASSAGEM";"979,76"
"0000000000018564921";"001579/22";"26000";"Ministério da Educação";"26241";"Universidade Federal do Paraná";"153079";"UNIVERSIDADE FEDERAL DO PARANA";"PASSAGEM";"315,35"
"0000000000018564921";"001579/22";"26000";"Ministério da Educação";"26241";"Universidade Federal do Paraná";"153079";"UNIVERSIDADE FEDERAL DO PARANA";"PASSAGEM";"554,50"
"0000000000018564921";"001579/22";"26000";"Ministério da Educação";"26241";"Universidade Federal do Paraná";"153079";"UNIVERSIDADE FEDERAL DO PARANA";"PASSAGEM";"361,81"
"0000000000018564921";"001579/22";"26000";"Ministério da Educação";"26241";"Universidade Federal do Paraná";"153079";"UNIVERSIDADE FEDERAL DO PARANA";"PASSAGEM";"554,50"
"0000000000018596792";"000001/23";"24000";"Ministério da Ciência, Tecnologia, Inovações e Comunicações";"24000";"Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto";"240105";"INSTIT.NACIONAL DE PESQUISA DA AMAZONIA-INPA";"PASSAGEM";"3099,95"
"0000000000018596822";"000002/23";"24000";"Ministério da Ciência, Tecnologia, Inovações e Comunicações";"24000";"Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto";"240105";"INSTIT.NACIONAL DE PESQUISA DA AMAZONIA-INPA";"PASSAGEM";"1046,86"
"0000000000018596822";"000002/23";"24000";"Ministério da Ciência, Tecnologia, Inovações e Comunicações";"24000";"Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto";"240105";"INSTIT.NACIONAL DE PESQUISA DA AMAZONIA-INPA";"PASSAGEM";"1613,61"
"0000000000018596829";"000003/23";"24000";"Ministério da Ciência, Tecnologia, Inovações e Comunicações";"24000";"Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto";"240105";"INSTIT.NACIONAL DE PESQUISA DA AMAZONIA-INPA";"PASSAGEM";"1046,86"
"0000000000018596829";"000003/23";"24000";"Ministério da Ciência, Tecnologia, Inovações e Comunicações";"24000";"Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto";"240105";"INSTIT.NACIONAL DE PESQUISA DA AMAZONIA-INPA";"PASSAGEM";"1613,61"
"0000000000018596833";"000004/23";"24000";"Ministério da Ciência, Tecnologia, Inovações e Comunicações";"24000";"Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto";"240105";"INSTIT.NACIONAL DE PESQUISA DA AMAZONIA-INPA";"PASSAGEM";"1613,61"
"0000000000018596833";"000004/23";"24000";"Ministério da Ciência, Tecnologia, Inovações e Comunicações";"24000";"Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto";"240105";"INSTIT.NACIONAL DE PESQUISA DA AMAZONIA-INPA";"PASSAGEM";"1046,86"
"0000000000018596835";"000005/23";"24000";"Ministério da Ciência, Tecnologia, Inovações e Comunicações";"24000";"Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto";"240105";"INSTIT.NACIONAL DE PESQUISA DA AMAZONIA-INPA";"PASSAGEM";"1613,61"
