"Identificador do processo de viagem ";"Número da Proposta (PCDP)";"Sequência Trecho";"Origem - Data";"Origem - País";"Origem - UF";"Origem - Cidade";"Destino - Data";"Destino - País";"Destino - UF";"Destino - Cidade";"Meio de transporte";"Número Diárias";"Missao?"
"0000000000018387433";"001258/22";"2";"16/02/2023";"Brasil";"Pará";"Belém";"16/02/2023";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"0,50";"Não"
"0000000000018387433";"001258/22";"1";"13/02/2023";"Brasil";"Distrito Federal";"Brasília";"16/02/2023";"Brasil";"Pará";"Belém";"Aéreo";"3,00";"Sim"
"0000000000018410020";"000001/23";"1";"05/01/2023";"Brasil";"Paraná";"Curitiba";"07/01/2023";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"0,00";"Sim"
"0000000000018410020";"000001/23";"2";"07/01/2023";"Brasil";"Distrito Federal";"Brasília";"07/01/2023";"Brasil";"Paraná";"Curitiba";"Aéreo";"0,00";"Não"
"0000000000018479297";"052420/22";"2";"07/02/2023";"Brasil";"Maranhão";"São Luís";"07/02/2023";"Brasil";"Maranhão";"Itapecuru Mirim";"Veículo Oficial";"0,00";"Não"
"0000000000018479297";"052420/22";"3";"07/02/2023";"Brasil";"Maranhão";"Itapecuru Mirim";"08/02/2023";"Brasil";"Maranhão";"Itapecuru Mirim";"Inválido";"1,00";"Sim"
"0000000000018479297";"052420/22";"5";"08/02/2023";"Brasil";"Maranhão";"São Luís";"08/02/2023";"Brasil";"Pernambuco";"Recife";"Aéreo";"0,50";"Não"
"0000000000018479297";"052420/22";"4";"08/02/2023";"Brasil";"Maranhão";"Itapecuru Mirim";"08/02/2023";"Brasil";"Maranhão";"São Luís";"Veículo Oficial";"0,00";"Não"
"0000000000018479297";"052420/22";"1";"07/02/2023";"Brasil";"Pernambuco";"Recife";"07/02/2023";"Brasil";"Maranhão";"São Luís";"Aéreo";"0,00";"Não"
"0000000000018487418";"000021/23";"1";"06/01/2023";"Brasil";"Ceará";"Fortaleza";"06/01/2023";"Argentina";"";"Buenos Aires";"Aéreo";"0,00";"Sim"
"0000000000018488467";"000036/23";"1";"06/01/2023";"Brasil";"Ceará";"Fortaleza";"06/01/2023";"Argentina";"";"Buenos Aires";"Aéreo";"0,00";"Sim"
"0000000000018488572";"000037/23";"1";"06/01/2023";"Brasil";"Ceará";"Fortaleza";"06/01/2023";"Argentina";"";"Buenos Aires";"Aéreo";"0,00";"Sim"
"0000000000018492555";"000001/23";"1";"01/01/2023";"Brasil";"Distrito Federal";"Brasília";"02/01/2023";"Argentina";"";"Buenos Aires";"Aéreo";"0,00";"Não"
"0000000000018497624";"000043/23";"1";"04/01/2023";"Brasil";"Distrito Federal";"Brasília";"04/01/2023";"Chile";"";"Santiago";"Aéreo";"0,00";"Sim"
"0000000000018500669";"000002/23";"1";"01/01/2023";"Brasil";"Distrito Federal";"Brasília";"02/01/2023";"Argentina";"";"Buenos Aires";"Aéreo";"0,00";"Não"
"0000000000018501723";"000044/23";"1";"04/01/2023";"Brasil";"Distrito Federal";"Brasília";"04/01/2023";"Chile";"";"Santiago";"Aéreo";"0,00";"Sim"
"0000000000018506716";"000248/23";"1";"01/01/2023";"Brasil";"Distrito Federal";"Brasília";"01/01/2023";"Estados Unidos da América";"";"Washington";"Aéreo";"0,00";"Não"
"0000000000018506898";"000247/23";"1";"01/01/2023";"Brasil";"Distrito Federal";"Brasília";"01/01/2023";"Estados Unidos da América";"";"Washington";"Aéreo";"0,00";"Não"
"0000000000018509100";"000091/22";"1";"02/02/2023";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"03/02/2023";"Brasil";"São Paulo";"São Paulo";"Aéreo";"1,00";"Sim"
"0000000000018509100";"000091/22";"2";"03/02/2023";"Brasil";"São Paulo";"São Paulo";"03/02/2023";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";"0,50";"Não"
"0000000000018513672";"000001/23";"1";"10/01/2023";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"13/01/2023";"Brasil";"Rio de Janeiro";"Campos dos Goytacazes";"Aéreo";"0,00";"Sim"
"0000000000018513672";"000001/23";"2";"13/01/2023";"Brasil";"Rio de Janeiro";"Campos dos Goytacazes";"13/01/2023";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";"0,00";"Não"
"0000000000018514026";"000002/23";"1";"10/01/2023";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"13/01/2023";"Brasil";"Rio de Janeiro";"Campos dos Goytacazes";"Aéreo";"0,00";"Sim"
"0000000000018514026";"000002/23";"2";"13/01/2023";"Brasil";"Rio de Janeiro";"Campos dos Goytacazes";"13/01/2023";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";"0,00";"Não"
"0000000000018515568";"000001/23";"3";"11/01/2023";"Brasil";"Rio de Janeiro";"Macaé";"12/01/2023";"Brasil";"Rio de Janeiro";"Campos dos Goytacazes";"Veículo Oficial";"0,50";"Não"
"0000000000018515568";"000001/23";"5";"12/01/2023";"Brasil";"Rio de Janeiro";"São João da Barra";"13/01/2023";"Brasil";"Rio de Janeiro";"Campos dos Goytacazes";"Veículo Oficial";"0,50";"Não"
"0000000000018515568";"000001/23";"1";"10/01/2023";"Brasil";"Distrito Federal";"Brasília";"11/01/2023";"Brasil";"Rio de Janeiro";"Campos dos Goytacazes";"Aéreo";"0,50";"Não"
"0000000000018515568";"000001/23";"7";"13/01/2023";"Brasil";"Espírito Santo";"Mimoso do Sul";"13/01/2023";"Brasil";"Rio de Janeiro";"Campos dos Goytacazes";"Veículo Oficial";"0,00";"Não"
"0000000000018515568";"000001/23";"8";"13/01/2023";"Brasil";"Rio de Janeiro";"Campos dos Goytacazes";"13/01/2023";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"0,50";"Não"
"0000000000018515568";"000001/23";"4";"12/01/2023";"Brasil";"Rio de Janeiro";"Campos dos Goytacazes";"12/01/2023";"Brasil";"Rio de Janeiro";"São João da Barra";"Veículo Oficial";"0,00";"Sim"
"0000000000018515568";"000001/23";"6";"13/01/2023";"Brasil";"Rio de Janeiro";"Campos dos Goytacazes";"13/01/2023";"Brasil";"Espírito Santo";"Mimoso do Sul";"Veículo Oficial";"0,00";"Sim"
"0000000000018515568";"000001/23";"2";"11/01/2023";"Brasil";"Rio de Janeiro";"Campos dos Goytacazes";"11/01/2023";"Brasil";"Rio de Janeiro";"Macaé";"Veículo Oficial";"0,00";"Sim"
